author,rank,contributions
virginia mcguire,1074,9
erica goode,1075,9
jared bernstein,1076,9
vinod sreeharsha,1077,9
marlise simons,1078,9
sonia kolesnikov-jessop,1079,9
laura rysman,1080,9
huma yusuf,1081,9
freda moon,1082,9
lizzie skurnick,1083,9
michael tortorello,1084,9
lisa iaboni,1085,9
simone oliver,1086,9
alex vadukul,1087,9
jennifer senior,1088,9
andy barall,1089,9
roberta ridolfi,1090,9
will shortz,1091,9
shayla tamara,1092,9
julie baumgardner,1093,9
brian mcfadden,1094,9
anand giridharadas,1095,9
karen barrow,1096,9
rachel swarns,1097,9
lorne manly,1098,9
dana jennings,1099,9
deborah sontag,1100,9
eleanor randolph,1101,9
robert walzer,1102,9
alice gabriel,1103,9
barbara anastacio,1104,9
rosie schaap,1105,9
pui-wing tam,1106,9
tanya abrams,1107,9
marcia allert,1108,9
james risen,1109,9
isma'il kushkush,1110,9
jeffrey singer,1111,9
maria newman,1112,9
haeyoun park,1113,9
bob morris,1114,9
anjani trivedi,1115,9
louise rafkin,1116,9
warren buckleitner,1117,9
christopher solomon,1118,9
jesse eisinger,1119,9
marie tessier,1120,8
ian johnson,1121,8
pascale bonnefoy,1122,8
jack anderson,1123,8
richard conniff,1124,8
max bearak,1125,8
camilla schick,1126,8
pat pickens,1127,8
bruce buschel,1128,8
kristin hussey,1129,8
chris stanford,1130,8
mp mueller,1131,8
dominic elliott,1132,8
eric spitznagel,1133,8
ezra dyer,1134,8
elsa butler,1135,8
robert frank,1136,8
russell goldman,1137,8
alex mindlin,1138,8
dennis lim,1139,8
nadia sussman,1140,8
robert peele,1141,8
turner cowles,1142,8
nicolai ouroussoff,1143,8
michael kolomatsky,1144,8
dan levin,1145,8
adam himmelsbach,1146,8
samantha quick,1147,8
vincent dilio,1148,8
randall stross,1149,8
joanna klein,1150,8
rory smith,1151,8
glenn kates,1152,8
susanne fowler,1153,8
wilson andrews,1154,8
dick cavett,1155,8
john vucetich,1156,8
kristina shevory,1157,8
frank rich,1158,8
adam goodheart,1159,8
francisco toro,1160,8
rob hoerburger,1161,8
behrooz afrakhan,1162,8
justin sullivan,1163,8
damon catrin,1164,8
julie earle-levine,1165,8
lily altavena,1166,8
danielle ofri,1167,8
kwame appiah,1168,8
john quain,1169,8
sharifullah sahak,1170,8
sam dillon,1171,8
jonathan mahler,1172,8
austin frakt,1173,8
dave anderson,1174,8
blake wilson,1175,8
kenan christiansen,1176,8
mike mcintire,1177,8
teton research,1178,8
eliot glazer,1179,8
serge schmemann,1180,8
jaime barry,1181,8
ken jaworowski,1182,8
mayy sheikh,1183,8
natalie angier,1184,8
edward glaeser,1185,8
ernesto londoño,1186,8
interview marie,1187,8
elsa brenner,1188,8
max fisher,1189,7
zusha elinson,1190,7
judith warner,1191,7
valeriya safronova,1192,7
dom phillips,1193,7
emily weinstein,1194,7
ben zimmer,1195,7
lincoln caplan,1196,7
tim wallace,1197,7
armand limnander,1198,7
dan shaw,1199,7
krista pirtle,1200,7
dharisha bastians,1201,7
pagan kennedy,1202,7
amanda brown,1203,7
alexandria symonds,1204,7
miriam bale,1205,7
susan gubar,1206,7
steve reddicliffe,1207,7
gadgetwise editors,1208,7
josh patrick,1209,7
stephanie lyness,1210,7
abe sater,1211,7
sheila marikar,1212,7
james montague,1213,7
richard friedman,1214,7
nicholas corasaniti,1215,7
rick beard,1216,7
catherine spangler,1217,7
jeffrey goldfarb,1218,7
reeve hamilton,1219,7
val haller,1220,7
dave taft,1221,7
economix editors,1222,7
ronald ahrens,1223,7
tom szaky,1224,7
marianne rohrlich,1225,7
s. fair,1226,7
neal boudette,1227,7
sally mcgrane,1228,7
charlotte druckman,1229,7
brendan nyhan,1230,7
stacy cowley,1231,7
shane o'neill,1232,7
christine negroni,1233,7
clark hoyt,1234,7
anita raghavan,1235,7
larry buchanan,1236,7
colin miner,1237,7
flora lichtman,1238,7
aaron carroll,1239,7
matt rhinesmith,1240,7
catrin damon,1241,7
celia dugger,1242,7
manu joseph,1243,7
sapna maheshwari,1244,7
green inc,1245,7
karla cook,1246,7
giovanni russonello,1247,7
patricia brown,1248,7
andrew boryga,1249,7
nicholas mccarvel,1250,7
james glanz,1251,7
christopher swann,1252,7
gabe ben,1253,7
jessica reaves,1254,7
stephen crowley,1255,7
ralph blumenthal,1256,7
jaclyn trop,1257,7
ben detrick,1258,7
jan hoffman,1259,7
riva richmond,1260,7
carl nelson,1261,7
lynn vavreck,1262,7
david herszenhorn,1263,7
andrew finkel,1264,7
maureen towey,1265,7
holly siegel,1266,7
steven heller,1267,7
catrin einhorn,1268,7
michael kamber,1269,7
majd waheidi,1270,7
hilary stout,1271,7
alec cohen,1272,7
nikhila gill,1273,7
amanda ruggeri,1274,6
deborah solomon,1275,6
lesley alderman,1276,6
nicholas schwartz,1277,6
alan wong,1278,6
