Job Family,Employee Identifier,Salaries,Overtime,Total Compensation,Total Benefits,Percentage Benefits
Street Transit,19317,31687.093333333334,2327.42,56994.756666666675,20819.763333333336,0.3652926084955066
Street Transit,42273,18634.184999999998,963.76,32161.575,11748.11,0.3652840384838118
Street Transit,16224,33147.81,2111.52,57381.98,20960.19,0.365274777900658
Street Transit,43137,11331.685,1473.625,20760.38,7582.870000000001,0.36525680165777313
Street Transit,24584,23614.83,2091.5799999999995,41732.87,15242.486666666666,0.3652393584880854
Street Transit,12866,28245.455,1584.42,48105.005,17564.97,0.3651380973767699
Street Transit,13501,34323.193333333336,2159.4266666666667,58304.736666666664,21287.693333333333,0.3651108734962128
Street Transit,30811,33510.06,2256.81,58266.74,21268.26,0.365015444488571
Street Transit,51463,33464.09,2489.59,57890.37,21130.87,0.3650152866530305
Street Transit,36706,35009.98,1831.08,60277.29,22001.82,0.36501010579606347
Street Transit,48924,18932.743333333336,2112.1766666666667,33837.676666666666,12350.769999999999,0.3650005324439631
Street Transit,6933,33395.83,2419.73,57672.03,21049.2,0.3649810835512466
Street Transit,23868,30098.225,2699.74,52230.91,19062.96,0.36497468644524855
Street Transit,18220,23346.61,1948.26,40458.07,14763.48,0.3649081629449947
Street Transit,49891,36513.85333333333,3054.596666666667,63204.996666666666,23057.976666666666,0.3648125604415558
Revenue,54091,12547.0,690.0,20839.28,7602.28,0.3648053099723215
Street Transit,48118,19781.585,1124.9,34279.125,12501.675,0.3647022787191913
Street Transit,20037,22163.86,1497.71,38496.195,14036.664999999999,0.3646247375877018
Street Transit,3114,36654.50666666666,3045.0533333333333,63431.27,23126.556666666667,0.36459236377683546
Street Transit,8417,14669.89,1616.1333333333332,26344.916666666668,9604.199999999999,0.3645560971597936
Street Transit,5693,21851.056666666667,2256.1666666666665,38969.386666666665,14205.903333333334,0.3645400800081021
Street Transit,27095,19107.504999999997,1303.47,32883.565,11983.47,0.36442125420403776
Street Transit,7445,30322.32666666667,1768.6466666666668,51242.82666666667,18672.61,0.36439461315170746
